player1,player2,player3,player4,score1,score2,date
Tim Eller,Owen Henderschedt,,,21,16,2024-08-01
John Cobb,Daniel Hodgins,Emma Snyder,Sean Grate,21,7,2024-08-24
James Zhong,Daniel Hodgins,,,21,0,2024-11-08
Owen Henderschedt,Emma Snyder,,,21,11,2024-12-23
Tim Eller,Seth Harward,,,21,2,2024-09-28
Tristan Salinas,Daniel Hodgins,,,21,20,2024-11-28
Seth Harward,James Zhong,Sayantani Battacharya,Jared DeLeo,21,1,2024-09-10
Tim Eller,Owen Henderschedt,,,21,20,2024-10-10
John David Clifton,Emma Snyder,,,21,6,2024-12-01
Sean Grate,Tim Eller,John Sterling,Tristan Salinas,21,19,2024-08-19
Owen Henderschedt,Jared DeLeo,,,21,10,2024-11-07
John Sterling,James Zhong,,,21,0,2024-09-22
James Zhong,John Sterling,,,21,4,2024-12-19
Seth Harward,Kenny Powell,Sayantani Battacharya,Daniel Hodgins,21,3,2024-09-02
James Zhong,Tristan Salinas,,,21,11,2024-08-26
Sayantani Battacharya,John Cobb,,,21,16,2024-09-08
Kenny Powell,Tim Eller,,,21,20,2024-08-07
John Cobb,Daniel Hodgins,,,21,16,2024-11-17
Daniel Hodgins,John Cobb,,,21,19,2024-09-16
Kenny Powell,Tristan Salinas,Owen Henderschedt,John David Clifton,21,17,2024-09-12
John Cobb,Daniel Hodgins,,,21,14,2024-10-01
Sayantani Battacharya,Owen Henderschedt,,,21,9,2024-09-12
Daniel Hodgins,Owen Henderschedt,John Cobb,James Zhong,21,8,2024-08-08
James Zhong,John David Clifton,,,21,18,2024-09-17
John Sterling,Kenny Powell,,,21,8,2024-12-11
James Zhong,Tim Eller,,,21,16,2024-12-11
Sayantani Battacharya,Jared DeLeo,Daniel Hodgins,John Cobb,21,4,2024-12-09
John Cobb,James Zhong,,,21,18,2024-08-05
Tristan Salinas,Tim Eller,Sayantani Battacharya,John Sterling,21,13,2024-10-21
Seth Harward,Jared DeLeo,,,21,6,2024-11-08
Sean Grate,Emma Snyder,,,21,13,2024-11-08
John Cobb,John Sterling,James Zhong,Kenny Powell,21,14,2024-08-28
Seth Harward,Emma Snyder,Tim Eller,Sayantani Battacharya,21,0,2024-08-11
John Cobb,James Zhong,,,21,3,2024-10-26
John Cobb,Jared DeLeo,Sayantani Battacharya,Seth Harward,21,13,2024-08-03
Daniel Hodgins,Sayantani Battacharya,,,21,19,2024-09-24
Emma Snyder,John Sterling,,,21,16,2024-08-28
John Sterling,Tim Eller,Kenny Powell,John Cobb,21,11,2024-08-07
Tristan Salinas,Jared DeLeo,,,21,13,2024-12-01
Tristan Salinas,Kenny Powell,,,21,7,2024-08-20
James Zhong,Tristan Salinas,,,21,1,2024-10-29
Owen Henderschedt,Sayantani Battacharya,,,21,7,2024-08-18
John Sterling,Tim Eller,,,21,13,2024-11-29
Seth Harward,Sayantani Battacharya,,,21,16,2024-08-08
James Zhong,Seth Harward,,,21,6,2024-08-16
John David Clifton,Jared DeLeo,Daniel Hodgins,Sayantani Battacharya,21,1,2024-11-02
Sean Grate,Emma Snyder,,,21,20,2024-11-24
Owen Henderschedt,John David Clifton,,,21,5,2024-08-24
Kenny Powell,John Sterling,James Zhong,Sean Grate,21,9,2024-11-15
John David Clifton,Kenny Powell,,,21,2,2024-10-15
Seth Harward,Owen Henderschedt,,,21,12,2024-08-18
Daniel Hodgins,John David Clifton,,,21,0,2024-08-19
John Cobb,Kenny Powell,,,21,12,2024-10-25
Seth Harward,Tim Eller,,,21,5,2024-12-15
Seth Harward,Kenny Powell,,,21,0,2024-12-01
James Zhong,Daniel Hodgins,,,21,0,2024-10-25
Owen Henderschedt,James Zhong,John Sterling,Tristan Salinas,21,0,2024-10-12
Kenny Powell,Tristan Salinas,,,21,13,2024-11-06
Owen Henderschedt,John Sterling,,,21,9,2024-12-04
Emma Snyder,Tristan Salinas,,,21,10,2024-08-27
Kenny Powell,Daniel Hodgins,,,21,4,2024-11-19
Daniel Hodgins,Owen Henderschedt,,,21,5,2024-12-17
Seth Harward,Jared DeLeo,,,21,1,2024-12-16
Emma Snyder,Daniel Hodgins,,,21,1,2024-08-29
Daniel Hodgins,Emma Snyder,,,21,2,2024-10-23
Tim Eller,Jared DeLeo,,,21,13,2024-08-15
Owen Henderschedt,Emma Snyder,,,21,10,2024-12-30
Jared DeLeo,John David Clifton,Owen Henderschedt,Daniel Hodgins,21,0,2024-10-27
Jared DeLeo,John David Clifton,,,21,16,2024-08-10
Tim Eller,Emma Snyder,,,21,8,2024-09-25
Emma Snyder,Kenny Powell,,,21,18,2024-12-22
Owen Henderschedt,John David Clifton,Emma Snyder,Jared DeLeo,21,15,2024-09-20
John Sterling,John David Clifton,,,21,1,2024-09-23
James Zhong,Tristan Salinas,Daniel Hodgins,Sayantani Battacharya,21,16,2024-12-26
Sean Grate,Kenny Powell,,,21,4,2024-11-30
Kenny Powell,John David Clifton,,,21,5,2024-09-18
James Zhong,Tim Eller,,,21,8,2024-11-26
Jared DeLeo,Tim Eller,,,21,11,2024-09-19
John Cobb,James Zhong,,,21,9,2024-11-27
John Cobb,Sean Grate,,,21,14,2024-10-18
James Zhong,Sean Grate,,,21,12,2024-10-23
Daniel Hodgins,Tim Eller,,,21,12,2024-08-05
Sayantani Battacharya,Sean Grate,,,21,17,2024-11-18
Emma Snyder,Jared DeLeo,,,21,13,2024-11-07
Jared DeLeo,James Zhong,John Sterling,Tristan Salinas,21,16,2024-08-10
Owen Henderschedt,John Sterling,,,21,1,2024-11-29
Sayantani Battacharya,Tim Eller,Emma Snyder,John Cobb,21,3,2024-10-29
John Cobb,Seth Harward,,,21,3,2024-11-09
Emma Snyder,Daniel Hodgins,Seth Harward,Tristan Salinas,21,18,2024-08-09
Kenny Powell,Sean Grate,,,21,19,2024-10-12
Seth Harward,John Sterling,,,21,17,2024-08-16
Tim Eller,Tristan Salinas,,,21,12,2024-09-21
James Zhong,Daniel Hodgins,,,21,6,2024-08-06
John David Clifton,Sayantani Battacharya,,,21,17,2024-09-29
John Sterling,Tim Eller,,,21,8,2024-08-03
Jared DeLeo,Owen Henderschedt,Tim Eller,Daniel Hodgins,21,3,2024-12-15
Kenny Powell,John Sterling,,,21,17,2024-12-11
Emma Snyder,Seth Harward,,,21,8,2024-09-10
Seth Harward,Emma Snyder,Jared DeLeo,James Zhong,21,11,2024-10-22
Tristan Salinas,John David Clifton,Emma Snyder,James Zhong,21,9,2024-09-02
Tim Eller,John Cobb,,,21,15,2024-12-27
Tim Eller,Kenny Powell,John Cobb,Daniel Hodgins,21,0,2024-09-24
Sayantani Battacharya,James Zhong,John Sterling,Tristan Salinas,21,19,2024-09-08
Jared DeLeo,Seth Harward,,,21,4,2024-09-02
Tristan Salinas,Tim Eller,,,21,18,2024-09-03
Jared DeLeo,John David Clifton,,,21,6,2024-12-27
Emma Snyder,James Zhong,John David Clifton,Owen Henderschedt,21,7,2024-08-25
Sean Grate,Daniel Hodgins,,,21,20,2024-08-03
Sean Grate,Sayantani Battacharya,John Cobb,Emma Snyder,21,5,2024-12-30
Tristan Salinas,Sayantani Battacharya,,,21,8,2024-12-06
Kenny Powell,Emma Snyder,,,21,9,2024-10-27
Sayantani Battacharya,James Zhong,,,21,17,2024-11-04
Kenny Powell,Sayantani Battacharya,,,21,6,2024-11-06
Tim Eller,Owen Henderschedt,John Sterling,John David Clifton,21,7,2024-10-14
Tristan Salinas,Daniel Hodgins,,,21,2,2024-08-05
Sayantani Battacharya,James Zhong,,,21,11,2024-10-08
Daniel Hodgins,Tim Eller,,,21,14,2024-09-14
Tristan Salinas,Jared DeLeo,,,21,15,2024-08-18
Sayantani Battacharya,Sean Grate,,,21,2,2024-12-19
John Sterling,Emma Snyder,Seth Harward,Kenny Powell,21,5,2024-09-17
Tristan Salinas,Jared DeLeo,Daniel Hodgins,Tim Eller,21,16,2024-08-27
Tristan Salinas,Daniel Hodgins,,,21,7,2024-08-12
Tim Eller,Jared DeLeo,,,21,20,2024-10-24
John Cobb,Sean Grate,,,21,16,2024-08-01
James Zhong,John Sterling,Kenny Powell,John Cobb,21,14,2024-12-08
John Sterling,Daniel Hodgins,,,21,11,2024-10-19
Seth Harward,Sean Grate,,,21,14,2024-12-13
John David Clifton,Emma Snyder,,,21,17,2024-12-25
Kenny Powell,Tim Eller,,,21,18,2024-10-16
Tim Eller,John Cobb,Sean Grate,Seth Harward,21,5,2024-09-14
John Sterling,Sayantani Battacharya,,,21,8,2024-08-07
James Zhong,Kenny Powell,Emma Snyder,Seth Harward,21,11,2024-10-03
Tristan Salinas,Sayantani Battacharya,,,21,8,2024-08-14
Emma Snyder,Kenny Powell,John David Clifton,Owen Henderschedt,21,9,2024-09-25
Sayantani Battacharya,James Zhong,,,21,15,2024-12-17
Jared DeLeo,James Zhong,John Sterling,Owen Henderschedt,21,11,2024-11-21
John Cobb,Tristan Salinas,,,21,19,2024-11-11
Tim Eller,John Sterling,,,21,5,2024-10-03
Jared DeLeo,Tim Eller,,,21,10,2024-09-20
John Sterling,John David Clifton,,,21,0,2024-12-18
John Cobb,John Sterling,Jared DeLeo,Emma Snyder,21,15,2024-10-20
John Sterling,Sayantani Battacharya,,,21,17,2024-09-10
James Zhong,Tim Eller,,,21,9,2024-10-14
Tristan Salinas,Tim Eller,,,21,11,2024-12-11
Owen Henderschedt,Daniel Hodgins,Emma Snyder,Kenny Powell,21,10,2024-08-06
James Zhong,Tim Eller,,,21,12,2024-10-19
Jared DeLeo,John Sterling,,,21,17,2024-08-16
Tim Eller,James Zhong,,,21,12,2024-08-16
Daniel Hodgins,Jared DeLeo,,,21,7,2024-08-02
John Sterling,Sayantani Battacharya,,,21,11,2024-10-02
John David Clifton,Jared DeLeo,Daniel Hodgins,Kenny Powell,21,1,2024-11-01
John Cobb,Kenny Powell,,,21,12,2024-12-20
Seth Harward,Owen Henderschedt,,,21,10,2024-11-14
Sayantani Battacharya,James Zhong,,,21,4,2024-09-12
John Sterling,Daniel Hodgins,Tristan Salinas,Seth Harward,21,14,2024-09-30
Owen Henderschedt,Emma Snyder,Sayantani Battacharya,Daniel Hodgins,21,9,2024-09-14
Emma Snyder,Tim Eller,,,21,11,2024-09-07
John Sterling,Kenny Powell,,,21,9,2024-11-11
James Zhong,Daniel Hodgins,,,21,3,2024-10-16
Sayantani Battacharya,Kenny Powell,,,21,15,2024-12-26
John Cobb,Kenny Powell,Seth Harward,Sean Grate,21,2,2024-11-11
Owen Henderschedt,Sean Grate,Jared DeLeo,Kenny Powell,21,11,2024-08-03
John Sterling,James Zhong,Daniel Hodgins,Emma Snyder,21,9,2024-09-23
Jared DeLeo,John David Clifton,,,21,10,2024-11-09
John Sterling,Kenny Powell,,,21,18,2024-09-05
Seth Harward,John David Clifton,Jared DeLeo,John Cobb,21,6,2024-10-22
Daniel Hodgins,Kenny Powell,John Cobb,Jared DeLeo,21,3,2024-08-10
Tim Eller,Sean Grate,,,21,19,2024-11-28
Tristan Salinas,John Cobb,,,21,12,2024-12-24
Daniel Hodgins,Tim Eller,,,21,10,2024-10-22
John David Clifton,Seth Harward,,,21,6,2024-09-25
Daniel Hodgins,Tristan Salinas,,,21,15,2024-12-13
Daniel Hodgins,Tristan Salinas,,,21,19,2024-09-21
Sayantani Battacharya,Sean Grate,,,21,13,2024-08-25
Tristan Salinas,Emma Snyder,John David Clifton,James Zhong,21,5,2024-09-08
Emma Snyder,Seth Harward,,,21,19,2024-12-18
Sean Grate,James Zhong,,,21,8,2024-08-08
Sean Grate,Emma Snyder,,,21,9,2024-08-04
Tristan Salinas,Owen Henderschedt,,,21,3,2024-12-26
Daniel Hodgins,Emma Snyder,,,21,6,2024-10-30
Sayantani Battacharya,John David Clifton,,,21,15,2024-09-22
John David Clifton,John Cobb,,,21,11,2024-12-29
Sayantani Battacharya,Sean Grate,John Cobb,Tristan Salinas,21,2,2024-09-12
John David Clifton,Daniel Hodgins,,,21,5,2024-11-08
John Cobb,Daniel Hodgins,,,21,11,2024-10-30
Sayantani Battacharya,Daniel Hodgins,,,21,0,2024-08-23
Owen Henderschedt,John Cobb,John Sterling,Tim Eller,21,4,2024-11-25
Sean Grate,Sayantani Battacharya,John David Clifton,Tim Eller,21,0,2024-09-22
Seth Harward,James Zhong,,,21,8,2024-12-01
Sayantani Battacharya,Daniel Hodgins,Jared DeLeo,Kenny Powell,21,11,2024-12-13
Owen Henderschedt,Daniel Hodgins,,,21,6,2024-10-26
Tim Eller,Daniel Hodgins,Jared DeLeo,John Cobb,21,2,2024-08-18
Seth Harward,Sean Grate,,,21,1,2024-10-06
Tim Eller,Seth Harward,,,21,5,2024-10-25
Seth Harward,Daniel Hodgins,Sayantani Battacharya,Emma Snyder,21,3,2024-08-22
Sean Grate,Owen Henderschedt,,,21,1,2024-12-15
Kenny Powell,John Cobb,,,21,20,2024-10-05
Tim Eller,John David Clifton,,,21,20,2024-12-09
Sayantani Battacharya,Jared DeLeo,,,21,0,2024-11-02
Tim Eller,Sean Grate,,,21,1,2024-10-12
Seth Harward,Daniel Hodgins,,,21,3,2024-11-16
Daniel Hodgins,Sayantani Battacharya,,,21,8,2024-12-26
John David Clifton,John Cobb,,,21,1,2024-09-25
John David Clifton,Sean Grate,,,21,2,2024-11-21
Sayantani Battacharya,James Zhong,,,21,2,2024-12-21
Sean Grate,John David Clifton,,,21,14,2024-09-28
Kenny Powell,John Sterling,,,21,7,2024-09-29
Jared DeLeo,John Sterling,,,21,18,2024-08-17
Sean Grate,Tristan Salinas,John David Clifton,Seth Harward,21,8,2024-09-14
Sean Grate,Jared DeLeo,,,21,0,2024-11-01
John Sterling,John David Clifton,Jared DeLeo,James Zhong,21,1,2024-12-13
Tristan Salinas,Sayantani Battacharya,,,21,0,2024-11-09
Seth Harward,Jared DeLeo,,,21,13,2024-12-11
John Cobb,Tim Eller,John David Clifton,Owen Henderschedt,21,7,2024-10-04
Owen Henderschedt,John David Clifton,,,21,20,2024-12-14
Tim Eller,Seth Harward,,,21,3,2024-11-05
Tristan Salinas,John Cobb,,,21,13,2024-12-12
John David Clifton,Tim Eller,,,21,14,2024-09-12
John Sterling,Tim Eller,John Cobb,Kenny Powell,21,19,2024-12-03
John David Clifton,Sean Grate,,,21,1,2024-10-05
Kenny Powell,Owen Henderschedt,,,21,4,2024-12-27
Seth Harward,Sayantani Battacharya,Tim Eller,Jared DeLeo,21,6,2024-12-20
James Zhong,Sayantani Battacharya,Jared DeLeo,Seth Harward,21,8,2024-08-27
Kenny Powell,James Zhong,Owen Henderschedt,John Sterling,21,8,2024-08-05
Daniel Hodgins,Jared DeLeo,,,21,7,2024-08-24
Tristan Salinas,John Cobb,Sayantani Battacharya,Emma Snyder,21,14,2024-12-26
James Zhong,Owen Henderschedt,Tristan Salinas,Seth Harward,21,10,2024-09-23
John Cobb,Jared DeLeo,,,21,1,2024-11-16
Owen Henderschedt,Tim Eller,Sayantani Battacharya,John Cobb,21,17,2024-12-10
Sean Grate,Tim Eller,John Sterling,John David Clifton,21,7,2024-11-08
James Zhong,Emma Snyder,Seth Harward,Kenny Powell,21,13,2024-08-15
Owen Henderschedt,Kenny Powell,Sayantani Battacharya,Sean Grate,21,12,2024-08-09
Sean Grate,Owen Henderschedt,,,21,18,2024-10-02
Seth Harward,Sean Grate,,,21,1,2024-08-04
Tim Eller,Daniel Hodgins,,,21,0,2024-08-26
John Sterling,John Cobb,,,21,17,2024-11-15
Kenny Powell,Daniel Hodgins,,,21,17,2024-11-04
Kenny Powell,John Sterling,,,21,3,2024-10-13
John Sterling,Kenny Powell,,,21,8,2024-09-27
Emma Snyder,Jared DeLeo,,,21,17,2024-12-01
John Cobb,Sayantani Battacharya,,,21,7,2024-11-10
James Zhong,Owen Henderschedt,,,21,11,2024-11-06
John Sterling,Kenny Powell,Tim Eller,Sean Grate,21,9,2024-09-06
Kenny Powell,Jared DeLeo,James Zhong,Emma Snyder,21,10,2024-09-16
Daniel Hodgins,John Sterling,,,21,3,2024-08-28
Daniel Hodgins,Owen Henderschedt,,,21,14,2024-09-15
Sean Grate,Daniel Hodgins,,,21,17,2024-09-01
Sayantani Battacharya,James Zhong,,,21,15,2024-09-13
Tim Eller,John Cobb,,,21,0,2024-12-15
Emma Snyder,Daniel Hodgins,,,21,6,2024-08-09
Owen Henderschedt,Sean Grate,Tim Eller,Sayantani Battacharya,21,19,2024-09-20
Sean Grate,Daniel Hodgins,,,21,13,2024-08-17
Sean Grate,John Sterling,,,21,15,2024-09-18
Kenny Powell,Daniel Hodgins,,,21,12,2024-09-30
Jared DeLeo,John Sterling,,,21,11,2024-08-14
James Zhong,Daniel Hodgins,Emma Snyder,John Sterling,21,11,2024-11-27
James Zhong,John David Clifton,,,21,1,2024-10-24
Seth Harward,Daniel Hodgins,,,21,4,2024-11-22
Owen Henderschedt,Tristan Salinas,,,21,7,2024-11-17
Emma Snyder,Sayantani Battacharya,,,21,10,2024-10-25
Tim Eller,John David Clifton,,,21,7,2024-11-08
Sean Grate,Kenny Powell,,,21,12,2024-11-08
John Cobb,Owen Henderschedt,,,21,4,2024-10-15
John David Clifton,Owen Henderschedt,,,21,8,2024-11-08
Seth Harward,Owen Henderschedt,Sayantani Battacharya,John Cobb,21,10,2024-09-14
Kenny Powell,John David Clifton,,,21,13,2024-11-09
Seth Harward,Kenny Powell,,,21,2,2024-08-26
Emma Snyder,John David Clifton,,,21,8,2024-12-18
Emma Snyder,John David Clifton,,,21,16,2024-09-04
Owen Henderschedt,Tim Eller,,,21,14,2024-11-04
Owen Henderschedt,John Cobb,,,21,4,2024-08-06
Tim Eller,Kenny Powell,Emma Snyder,John Cobb,21,1,2024-10-08
Daniel Hodgins,Kenny Powell,,,21,11,2024-10-26
Seth Harward,Owen Henderschedt,John Cobb,Emma Snyder,21,4,2024-08-19
Emma Snyder,Kenny Powell,Seth Harward,Sean Grate,21,16,2024-11-15
Seth Harward,John Cobb,,,21,10,2024-12-01
Sayantani Battacharya,Tristan Salinas,,,21,1,2024-08-28
Tim Eller,Kenny Powell,Seth Harward,Sayantani Battacharya,21,3,2024-08-29
James Zhong,Tim Eller,,,21,20,2024-09-27
Seth Harward,Owen Henderschedt,,,21,18,2024-11-23
Jared DeLeo,Owen Henderschedt,,,21,12,2024-09-10
John Cobb,Sean Grate,,,21,5,2024-08-21
Jared DeLeo,Kenny Powell,,,21,14,2024-10-14
Sayantani Battacharya,James Zhong,,,21,7,2024-10-21
Emma Snyder,Owen Henderschedt,,,21,8,2024-10-08
Jared DeLeo,Owen Henderschedt,,,21,20,2024-08-30
Owen Henderschedt,James Zhong,Daniel Hodgins,Jared DeLeo,21,6,2024-10-19
Emma Snyder,John David Clifton,,,21,6,2024-09-01
Jared DeLeo,Sean Grate,John Sterling,Kenny Powell,21,10,2024-12-22
John David Clifton,Sayantani Battacharya,,,21,15,2024-10-12
John Sterling,Jared DeLeo,,,21,20,2024-08-28
Sayantani Battacharya,James Zhong,,,21,4,2024-09-08
Seth Harward,Jared DeLeo,,,21,18,2024-12-06
John Cobb,Sean Grate,,,21,7,2024-10-24
Seth Harward,Emma Snyder,,,21,13,2024-08-24
John David Clifton,Jared DeLeo,,,21,8,2024-08-14
Emma Snyder,Owen Henderschedt,,,21,11,2024-12-23
Owen Henderschedt,Kenny Powell,,,21,17,2024-10-27
Kenny Powell,John Cobb,,,21,0,2024-08-09
Seth Harward,James Zhong,,,21,12,2024-10-15
Emma Snyder,Sayantani Battacharya,Owen Henderschedt,James Zhong,21,19,2024-08-06
John Cobb,Emma Snyder,,,21,4,2024-11-15
Emma Snyder,John David Clifton,John Sterling,Tim Eller,21,14,2024-11-12
John David Clifton,Kenny Powell,,,21,10,2024-12-20
John Sterling,Emma Snyder,,,21,4,2024-10-10
Daniel Hodgins,John Sterling,,,21,16,2024-12-12
Sayantani Battacharya,John David Clifton,,,21,7,2024-11-18
Kenny Powell,Seth Harward,,,21,14,2024-11-30
Daniel Hodgins,James Zhong,Seth Harward,John David Clifton,21,1,2024-08-14
Sayantani Battacharya,John Cobb,Daniel Hodgins,John Sterling,21,14,2024-10-12
Tristan Salinas,John Cobb,,,21,0,2024-08-07
Sayantani Battacharya,Tristan Salinas,Jared DeLeo,James Zhong,21,18,2024-08-13
John Cobb,Tristan Salinas,,,21,20,2024-12-07
Emma Snyder,Jared DeLeo,,,21,19,2024-12-03
Tristan Salinas,Emma Snyder,,,21,10,2024-12-27
James Zhong,Daniel Hodgins,,,21,16,2024-08-30
Seth Harward,Daniel Hodgins,,,21,5,2024-12-30
Daniel Hodgins,Tristan Salinas,,,21,18,2024-08-03
John Sterling,John Cobb,Owen Henderschedt,Daniel Hodgins,21,18,2024-12-15
John David Clifton,James Zhong,,,21,17,2024-12-05
John Cobb,Tristan Salinas,Kenny Powell,Daniel Hodgins,21,7,2024-11-24
Seth Harward,Sean Grate,Daniel Hodgins,John David Clifton,21,18,2024-08-09
James Zhong,Sean Grate,,,21,14,2024-09-22
Kenny Powell,Sayantani Battacharya,,,21,13,2024-11-02
John Cobb,James Zhong,,,21,13,2024-10-26
James Zhong,Tim Eller,,,21,10,2024-12-13
Jared DeLeo,Sean Grate,,,21,12,2024-09-09
Sean Grate,John Sterling,,,21,19,2024-09-29
John Sterling,John David Clifton,,,21,13,2024-09-16
John Cobb,Daniel Hodgins,John David Clifton,Emma Snyder,21,13,2024-08-25
Sayantani Battacharya,Jared DeLeo,John Cobb,Daniel Hodgins,21,7,2024-08-16
James Zhong,Sean Grate,,,21,6,2024-10-22
Emma Snyder,John David Clifton,,,21,6,2024-11-19
John Sterling,Owen Henderschedt,,,21,15,2024-12-30
John Cobb,Tim Eller,John Sterling,Tristan Salinas,21,12,2024-10-10
James Zhong,Tristan Salinas,,,21,2,2024-09-29
Sean Grate,Daniel Hodgins,,,21,10,2024-08-03
Emma Snyder,John David Clifton,,,21,16,2024-09-26
James Zhong,Tim Eller,John Sterling,Tristan Salinas,21,5,2024-11-13
John David Clifton,Seth Harward,Emma Snyder,Tristan Salinas,21,18,2024-10-22
Sayantani Battacharya,Owen Henderschedt,Seth Harward,Tim Eller,21,9,2024-11-17
Sean Grate,Emma Snyder,Seth Harward,Owen Henderschedt,21,5,2024-08-08
Owen Henderschedt,James Zhong,,,21,15,2024-12-11
Sayantani Battacharya,Tristan Salinas,,,21,4,2024-11-22
Daniel Hodgins,John Sterling,,,21,12,2024-10-13
Emma Snyder,Daniel Hodgins,,,21,6,2024-12-28
Daniel Hodgins,Emma Snyder,,,21,19,2024-10-20
Seth Harward,Daniel Hodgins,,,21,16,2024-10-01
Emma Snyder,Tim Eller,,,21,0,2024-09-27
Emma Snyder,Owen Henderschedt,,,21,20,2024-10-15
Kenny Powell,Seth Harward,,,21,7,2024-09-27
John Cobb,Jared DeLeo,,,21,10,2024-12-04
John Cobb,John Sterling,Emma Snyder,Jared DeLeo,21,8,2024-08-03
Jared DeLeo,Emma Snyder,,,21,0,2024-09-17
James Zhong,Seth Harward,,,21,8,2024-09-02
James Zhong,John Sterling,Tim Eller,Jared DeLeo,21,7,2024-12-05
John Sterling,Tim Eller,John David Clifton,John Cobb,21,11,2024-10-14
Sayantani Battacharya,Owen Henderschedt,,,21,19,2024-09-14
Seth Harward,Emma Snyder,,,21,9,2024-08-06
James Zhong,Daniel Hodgins,,,21,1,2024-09-24
Owen Henderschedt,Emma Snyder,Sean Grate,James Zhong,21,3,2024-10-25
Sean Grate,James Zhong,,,21,6,2024-09-03
Tim Eller,Emma Snyder,,,21,3,2024-10-03
Sean Grate,Owen Henderschedt,,,21,6,2024-10-20
James Zhong,John Cobb,,,21,15,2024-09-20
John David Clifton,John Cobb,,,21,13,2024-09-09
Kenny Powell,Tim Eller,,,21,11,2024-08-25
Tim Eller,Seth Harward,,,21,3,2024-11-22
Tristan Salinas,Sean Grate,Sayantani Battacharya,John Cobb,21,10,2024-09-23
Jared DeLeo,Owen Henderschedt,,,21,15,2024-12-20
John Sterling,Owen Henderschedt,,,21,19,2024-10-07
Kenny Powell,John Sterling,,,21,1,2024-10-18
Kenny Powell,Tristan Salinas,,,21,12,2024-08-14
Kenny Powell,Daniel Hodgins,Sayantani Battacharya,James Zhong,21,13,2024-11-28
Jared DeLeo,Kenny Powell,,,21,18,2024-10-06
Sean Grate,John David Clifton,,,21,17,2024-08-30
James Zhong,Sayantani Battacharya,Tim Eller,Sean Grate,21,17,2024-11-07
John Cobb,John Sterling,,,21,1,2024-10-27
Tim Eller,Sean Grate,,,21,19,2024-12-21
James Zhong,John Sterling,,,21,0,2024-12-20
John Cobb,Seth Harward,,,21,1,2024-08-18
John David Clifton,Owen Henderschedt,,,21,9,2024-08-06
Seth Harward,Owen Henderschedt,,,21,19,2024-12-10
Jared DeLeo,James Zhong,,,21,12,2024-12-13
Sayantani Battacharya,Kenny Powell,,,21,15,2024-10-07
Emma Snyder,Daniel Hodgins,Kenny Powell,Sayantani Battacharya,21,0,2024-08-10
Jared DeLeo,John Cobb,,,21,14,2024-09-05
Jared DeLeo,John David Clifton,,,21,12,2024-09-01
John Cobb,James Zhong,,,21,4,2024-10-19
Seth Harward,Sean Grate,,,21,11,2024-10-19
Kenny Powell,Sean Grate,,,21,8,2024-10-01
Tim Eller,Seth Harward,,,21,19,2024-09-17
Emma Snyder,Tristan Salinas,,,21,19,2024-10-29
James Zhong,John Cobb,,,21,3,2024-12-06
Sayantani Battacharya,James Zhong,,,21,20,2024-09-04
